query_line,query_text_preview,verse_reference,verse_text_preview,similarity_score
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Joshua 10:25,"And Joshua said unto them, Fear not, nor be dismayed, be strong and of good courage: for thus shall the LORD do to all your enemies against whom ye fight.",-6.3116
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Psalms 53:5,"There were they in great fear, where no fear was: for God hath scattered the bones of him that encampeth against thee: thou hast put them to shame, because God hath despised them.",-6.3676
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Jeremiah 46:5,"Wherefore have I seen them dismayed and turned away back? and their mighty ones are beaten down, and are fled apace, and look not back: for fear was round about, saith the LORD.",-6.4195
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",1 Kings 29:4,"And the princes of the Philistines were wroth with him; and the princes of the Philistines said unto him, Make this fellow return, that he may go again to his place which thou hast appointed him, and ",-6.4340
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",Ezekiel 5:2,"Thou shalt burn with fire a third part in the midst of the city, when the days of the siege are fulfilled: and thou shalt take a third part, and smite about it with a knife: and a third part thou shal",-6.4683
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Deuteronomy 32:27,"Were it not that I feared the wrath of the enemy, lest their adversaries should behave themselves strangely, and lest they should say, Our hand is high, and the LORD hath not done all this.",-6.5421
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Genesis 19:19,"Behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me,",-6.5719
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",2 Kings 1:13,"And he sent again a captain of the third fifty with his fifty. And the third captain of fifty went up, and came and fell on his knees before Elijah, and besought him, and said unto him, O man of God, ",-6.5783
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Job 13:11,Shall not his excellency make you afraid? and his dread fall,-6.5951
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Proverbs 29:25,The fear of man bringeth a snare: but whoso putteth his trust in the LORD shall be safe.,-6.6529
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Daniel 11:25,And he shall stir up his power and his courage against the king of the south with a great army; and the king of the south shall be stirred up to battle with a very great and mighty army; but he shall ,-6.6698
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Isaiah 8:12,"Say ye not, A confederacy, to all them to whom this people shall say, A confederacy; neither fear ye their fear, nor be afraid.",-6.6911
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",1 Kings 31:4,"Then said Saul unto his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and thrust me through, and abuse me. But his armourbearer would not; for he was sor",-6.7221
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 8:21,For the hurt of the daughter of my people am I hurt; I am black; astonishment hath taken hold on me.,-6.7530
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",1 Kings 15:23,"For rebellion is as the sin of witchcraft, and stubbornness is as iniquity and idolatry. Because thou hast rejected the word of the LORD, he hath also rejected thee from being king.",-6.7611
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",-6.7875
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",2 Kings 2:17,"And when they urged him till he was ashamed, he said, Send. They sent therefore fifty men; and they sought three days, but found him not.",-6.7923
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",-6.8091
150,"In addition to the pain of parting from friends, as I supposed, forever, I had the added grief of neglected chances of escape to brood over. I had put off running away until I was now to be placed whe",Genesis 19:19,"Behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me,",-6.8496
674,"A half a million indeed! The fact is, I never was worth one-fifth of that sum and never expect to be. The offices held by me during the eleven years of my official life never brought me over three tho",Numbers 31:43,(Now the half that pertained unto the congregation was three hundred thousand and thirty thousand and seven,-6.8718
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",1 Chronicles 10:4,"Then said Saul to his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and abuse me. But his armourbearer would not; for he was sore afraid. So Saul took a ",-6.8901
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",John 8:44,"Ye are of your father the devil, and the lusts of your father ye will do. He was a murderer from the beginning, and abode not in the truth, because there is no truth in him. When he speaketh a lie, he",-6.9191
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",-6.9663
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Luke 22:6,"And he promised, and sought opportunity to betray him unto them in the absence of the multitude.",-6.9670
652,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",Ecclesiastes 4:8,"There is one alone, and there is not a second; yea, he hath neither child nor brother: yet is there no end of all his labour; neither is his eye satisfied with riches; neither saith he, For whom do I ",-6.9744
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 31:20,"Is Ephraim my dear son? is he a pleasant child? for since I spake against him, I do earnestly remember him still: therefore my bowels are troubled for him; I will surely have mercy upon him, saith the",-6.9821
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",Psalms 83:5,For they have consulted together with one consent: they are confederate against thee:,-6.9953
396,"Y., and will long be remembered there for the surprise and gratification it caused our friends in that city. They were not looking for such exhibitions of enlightened zeal and ability as were there di",1 Kings 8:48,"And so return unto thee with all their heart, and with all their soul, in the land of their enemies, which led them away captive, and pray unto thee toward their land, which thou gavest unto their fat",-7.0013
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",-7.0077
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Daniel 11:18,"After this shall he turn his face unto the isles, and shall take many: but a prince for his own behalf shall cause the reproach offered by him to cease; without his own reproach he shall cause it to t",-7.0140
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,-7.0814
114,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",1 Corinthians 15:43,It is sown in dishonour; it is raised in glory: it is sown in weakness; it is raised,-7.0860
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",-7.1038
744,"He was the son of Rev. Lant Carpenter, who for a long time was an honored pastor in Bristol. He was also the brother of Philip and Mary Carpenter, and one of a family distinguished for every moral and",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",-7.1301
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",1 Chronicles 21:12,"Either three years’ famine; or three months to be destroyed before thy foes, while that the sword of thine enemies overtaketh thee; or else three days the sword of the LORD, even the pestilence, in th",-7.1474
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,-7.1565
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Jeremiah 31:20,"Is Ephraim my dear son? is he a pleasant child? for since I spake against him, I do earnestly remember him still: therefore my bowels are troubled for him; I will surely have mercy upon him, saith the",-7.1629
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Isaiah 50:2,"Wherefore, when I came, was there no man? when I called, was there none to answer? Is my hand shortened at all, that it cannot redeem? or have I no power to deliver? behold, at my rebuke I dry up the ",-7.1703
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",Jeremiah 29:31,"Send to all them of the captivity, saying, Thus saith the LORD concerning Shemaiah the Nehelamite; Because that Shemaiah hath prophesied unto you, and I sent him not, and he caused you to trust in a l",-7.1705
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",-7.1712
396,"Y., and will long be remembered there for the surprise and gratification it caused our friends in that city. They were not looking for such exhibitions of enlightened zeal and ability as were there di",1 Kings 20:25,"And number thee an army, like the army that thou hast lost, horse for horse, and chariot for chariot: and we will fight against them in the plain, and surely we shall be stronger than they. And he hea",-7.1720
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 8:19,Behold the voice of the cry of the daughter of my people because of them that dwell in a far country: Is not the LORD in Zion? is not her king in her? Why have they provoked me to anger with their gra,-7.1843
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",-7.1848
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",1 John 2:13,"I write unto you, fathers, because ye have known him that is from the beginning. I write unto you, young men, because ye have overcome the wicked one. I write unto you, little children, because ye hav",-7.1901
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,-7.1930
396,"Y., and will long be remembered there for the surprise and gratification it caused our friends in that city. They were not looking for such exhibitions of enlightened zeal and ability as were there di",Daniel 11:25,And he shall stir up his power and his courage against the king of the south with a great army; and the king of the south shall be stirred up to battle with a very great and mighty army; but he shall ,-7.1960
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",1 Kings 20:25,"And number thee an army, like the army that thou hast lost, horse for horse, and chariot for chariot: and we will fight against them in the plain, and surely we shall be stronger than they. And he hea",-7.2285
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Proverbs 23:20,Be not among winebibbers; among riotous eaters of flesh: 23:21 For the drunkard and the glutton shall come to poverty: and drowsiness shall clothe a man with rags.,-7.2375
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",2 Kings 23:19,Was he not most honourable of three? therefore he was their captain: howbeit he attained not unto the first three.,-7.2382
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Ecclesiastes 2:21,"For there is a man whose labour is in wisdom, and in knowledge, and in equity; yet to a man that hath not laboured therein shall he leave it for his portion. This also is vanity and a great evil.",-7.2497
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Acts 6:13,"And set up false witnesses, which said, This man ceaseth not to",-7.2542
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",1 Kings 29:4,"And the princes of the Philistines were wroth with him; and the princes of the Philistines said unto him, Make this fellow return, that he may go again to his place which thou hast appointed him, and ",-7.2669
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Isaiah 50:2,"Wherefore, when I came, was there no man? when I called, was there none to answer? Is my hand shortened at all, that it cannot redeem? or have I no power to deliver? behold, at my rebuke I dry up the ",-7.2938
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Romans 14:4,"Who art thou that judgest another man’s servant? to his own master he standeth or falleth. Yea, he shall be holden up: for God is able to make him stand.",-7.2999
799,"The Republican party and the nation were pledged to the protection of the constitutional rights of the colored citizens. If it refused to perform its promise, it would be false to its highest trust. A",Luke 1:73,The oath which he,-7.3144
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Psalms 15:4,"In whose eyes a vile person is contemned; but he honoureth them that fear the LORD. He that sweareth to his own hurt, and changeth not.",-7.3165
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",-7.3245
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",-7.3280
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Proverbs 8:29,"When he gave to the sea his decree, that the waters should not pass his commandment:",-7.3427
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",Leviticus 25:47,"And if a sojourner or stranger wax rich by thee, and thy brother that dwelleth by him wax poor, and sell himself unto the stranger or sojourner by thee, or to the stock of the stranger’s family: 25:48",-7.3487
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Ezekiel 28:2,"Son of man, say unto the prince of Tyrus, Thus saith the Lord GOD; Because thine heart is lifted up, and thou hast said, I am a God, I sit in the seat of God, in the midst of the seas; yet thou art a ",-7.3504
22,"I can therefore fondly and proudly ascribe to her an earnest love of knowledge. That in any slave State a field-hand should learn to read is remarkable, but the achievement of my mother, considering t",Jeremiah 31:20,"Is Ephraim my dear son? is he a pleasant child? for since I spake against him, I do earnestly remember him still: therefore my bowels are troubled for him; I will surely have mercy upon him, saith the",-7.3707
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",1 Kings 9:16,"To morrow about this time I will send thee a man out of the land of Benjamin, and thou shalt anoint him to be captain over my people Israel, that he may save my people out of the hand of the Philistin",-7.3886
682,"The lesson taught by its example and its warning is, that political parties, like individual men, are only strong while they are consistent and honest, and that treachery and deception are only the sa",Isaiah 9:17,"Therefore the LORD shall have no joy in their young men, neither shall have mercy on their fatherless and widows: for every one is an hypocrite and an evildoer, and every mouth speaketh folly. For all",-7.3905
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",Daniel 11:29,"At the time appointed he shall return, and come toward the south; but it shall not be as the former, or as the latter.",-7.3985
22,"I can therefore fondly and proudly ascribe to her an earnest love of knowledge. That in any slave State a field-hand should learn to read is remarkable, but the achievement of my mother, considering t",Ruth 2:19,"And her mother in law said unto her, Where hast thou gleaned to day? and where wroughtest thou? blessed be he that did take knowledge of thee. And she shewed her mother in law with whom she had wrough",-7.4045
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",-7.4090
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Isaiah 57:13,"When thou criest, let thy companies deliver thee; but the wind shall carry them all away; vanity shall take them: but he that putteth his trust in me shall possess the land, and shall inherit my holy",-7.4148
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",Matthew 8:9,"For I am a man under authority, having soldiers under me: and I say to this man, Go, and he goeth; and to another, Come, and he cometh; and to my servant, Do this, and he doeth it.",-7.4155
83,"One of the commonest sayings to which my ears early became accustomed, was, that it was ""worth but a half a cent to kill a nigger, and half a cent to bury one."" While I heard of numerous murders commi",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",-7.4182
660,"Perhaps a political abolitionist would equally misjudge and underrate the value of the non-voting and moral-suasion party, of which Mr. Garrison was the admitted leader; while in fact the two were the",Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",-7.4227
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Job 10:15,"If I be wicked, woe unto me; and if I be righteous, yet will I not lift up my head. I am full of confusion; therefore see thou mine",-7.4272
396,"Y., and will long be remembered there for the surprise and gratification it caused our friends in that city. They were not looking for such exhibitions of enlightened zeal and ability as were there di",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",-7.4294
639,"Though his folly may be less apparent, it is just as real when one-half of the moral and intellectual power of the world is excluded from any voice or vote in civil government. In this denial of the r",Luke 18:7,"And shall not God avenge his own elect, which cry day and night",-7.4348
799,"The Republican party and the nation were pledged to the protection of the constitutional rights of the colored citizens. If it refused to perform its promise, it would be false to its highest trust. A",John 7:43,So there was a division among the people because of him.,-7.4680
195,"I say I have no doubt of this; the reason is, that there were not, under the whole heavens, a set of men who cultivated such a dread of labor as did the slaveholders. The charge of laziness against th",1 Chronicles 10:4,"Then said Saul to his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and abuse me. But his armourbearer would not; for he was sore afraid. So Saul took a ",-7.4742
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Ezra 7:4,The son of,-7.4783
240,"We were generally a unit, and moved together. Thoughts and sentiments were exchanged between us which might well have been considered incendiary had they been known by our masters. The slaveholder, we",Isaiah 57:13,"When thou criest, let thy companies deliver thee; but the wind shall carry them all away; vanity shall take them: but he that putteth his trust in me shall possess the land, and shall inherit my holy",-7.4910
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Psalms 43:5,"Why art thou cast down, O my soul? and why art thou disquieted within me? hope in God: for I shall yet praise him, who is the health of my countenance, and my God.",-7.4934
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Ezra 7:4,The son of,-7.4976
682,"The lesson taught by its example and its warning is, that political parties, like individual men, are only strong while they are consistent and honest, and that treachery and deception are only the sa",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,-7.5018
639,"Though his folly may be less apparent, it is just as real when one-half of the moral and intellectual power of the world is excluded from any voice or vote in civil government. In this denial of the r",Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",-7.5034
744,"He was the son of Rev. Lant Carpenter, who for a long time was an honored pastor in Bristol. He was also the brother of Philip and Mary Carpenter, and one of a family distinguished for every moral and",Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",-7.5191
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",-7.5252
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Romans 14:4,"Who art thou that judgest another man’s servant? to his own master he standeth or falleth. Yea, he shall be holden up: for God is able to make him stand.",-7.5307
396,"Y., and will long be remembered there for the surprise and gratification it caused our friends in that city. They were not looking for such exhibitions of enlightened zeal and ability as were there di",Isaiah 29:8,"It shall even be as when an hungry man dreameth, and, behold, he eateth; but he awaketh, and his soul is empty: or as when a thirsty man dreameth, and, behold, he drinketh; but he awaketh, and, behold",-7.5477
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Genesis 49:9,"Judah is a lion’s whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall",-7.5513
150,"In addition to the pain of parting from friends, as I supposed, forever, I had the added grief of neglected chances of escape to brood over. I had put off running away until I was now to be placed whe",Isaiah 50:2,"Wherefore, when I came, was there no man? when I called, was there none to answer? Is my hand shortened at all, that it cannot redeem? or have I no power to deliver? behold, at my rebuke I dry up the ",-7.5543
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Deuteronomy 8:15,"Who led thee through that great and terrible wilderness, wherein were fiery serpents, and scorpions, and drought, where there was no water; who brought thee",-7.5682
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",-7.5798
