query_line,query_text_preview,verse_reference,verse_text_preview,similarity_score
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",1 Kings 29:4,"And the princes of the Philistines were wroth with him; and the princes of the Philistines said unto him, Make this fellow return, that he may go again to his place which thou hast appointed him, and ",-6.4340
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",2 Kings 9:5,"And when he came, behold, the captains of the host were sitting; and he said, I have an errand to thee, O captain. And Jehu said, Unto which of all us? And he said, To thee, O captain.",-6.4345
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",Ezekiel 5:2,"Thou shalt burn with fire a third part in the midst of the city, when the days of the siege are fulfilled: and thou shalt take a third part, and smite about it with a knife: and a third part thou shal",-6.4683
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Ezekiel 9:5,"And to the others he said in mine hearing, Go ye after him through the city, and smite: let not your eye spare, neither have ye pity: 9:6 Slay utterly old and young, both maids, and little children, a",-6.4935
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Deuteronomy 32:27,"Were it not that I feared the wrath of the enemy, lest their adversaries should behave themselves strangely, and lest they should say, Our hand is high, and the LORD hath not done all this.",-6.5421
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",Ecclesiastes 6:2,"A man to whom God hath given riches, wealth, and honour, so that he wanteth nothing for his soul of all that he desireth, yet God giveth him not power to eat thereof, but a stranger eateth it: this is",-6.5531
652,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",Numbers 14:34,"After the number of the days in which ye searched the land, even forty days, each day for a year, shall ye bear your iniquities, even forty years, and ye shall know my breach of promise.",-6.5649
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Ezekiel 12:2,"Son of man, thou dwellest in the midst of a rebellious house, which have eyes to see, and see not; they have ears to hear, and hear not: for they are a rebellious house.",-6.5684
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",2 Kings 1:13,"And he sent again a captain of the third fifty with his fifty. And the third captain of fifty went up, and came and fell on his knees before Elijah, and besought him, and said unto him, O man of God, ",-6.5783
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Proverbs 29:25,The fear of man bringeth a snare: but whoso putteth his trust in the LORD shall be safe.,-6.6529
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Daniel 11:25,And he shall stir up his power and his courage against the king of the south with a great army; and the king of the south shall be stirred up to battle with a very great and mighty army; but he shall ,-6.6698
445,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Isaiah 8:12,"Say ye not, A confederacy, to all them to whom this people shall say, A confederacy; neither fear ye their fear, nor be afraid.",-6.6911
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",2 Kings 23:19,Was he not most honourable of three? therefore he was their captain: howbeit he attained not unto the first three.,-6.7094
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",1 Kings 31:4,"Then said Saul unto his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and thrust me through, and abuse me. But his armourbearer would not; for he was sor",-6.7221
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",2 Kings 19:28,For all of my father’s house were but dead men before my lord the king: yet didst thou set thy servant among them that did eat at thine own table. What right therefore have I yet to cry any more unto,-6.7226
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Matthew 10:25,"It is enough for the disciple that he be as his master, and the servant as his lord. If they have called the master of the house Beelzebub, how much more shall they call them of his household? 10:26 F",-6.7482
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 8:21,For the hurt of the daughter of my people am I hurt; I am black; astonishment hath taken hold on me.,-6.7530
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",2 Chronicles 2:14,"The son of a woman of the daughters of Dan, and his father was a man of Tyre, skilful to work in gold, and in silver, in brass, in iron, in stone, and in timber, in purple, in blue, and in fine linen,",-6.7826
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",-6.7875
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",2 Kings 2:17,"And when they urged him till he was ashamed, he said, Send. They sent therefore fifty men; and they sought three days, but found him not.",-6.7923
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",-6.8091
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",1 Kings 29:4,"And the princes of the Philistines were wroth with him; and the princes of the Philistines said unto him, Make this fellow return, that he may go again to his place which thou hast appointed him, and ",-6.8109
639,"Though his folly may be less apparent, it is just as real when one-half of the moral and intellectual power of the world is excluded from any voice or vote in civil government. In this denial of the r",1 Chronicles 16:27,Glory and honour are in his presence; strength and gladness are in his place.,-6.8226
652,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",2 Corinthians 11:25,"Thrice was I beaten with rods, once was I stoned, thrice I suffered shipwreck, a night and a day I have been in the deep; 11:26 In journeyings often, in perils of waters, in perils of robbers, in peri",-6.8313
150,"In addition to the pain of parting from friends, as I supposed, forever, I had the added grief of neglected chances of escape to brood over. I had put off running away until I was now to be placed whe",Genesis 19:19,"Behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me,",-6.8496
674,"A half a million indeed! The fact is, I never was worth one-fifth of that sum and never expect to be. The offices held by me during the eleven years of my official life never brought me over three tho",Numbers 31:43,(Now the half that pertained unto the congregation was three hundred thousand and thirty thousand and seven,-6.8718
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",1 Kings 20:39,"And as the king passed by, he cried unto the king: and he said, Thy servant went out into the midst of the battle; and, behold, a man turned aside, and brought a man unto me, and said, Keep this man: ",-6.8736
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",1 Chronicles 10:4,"Then said Saul to his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and abuse me. But his armourbearer would not; for he was sore afraid. So Saul took a ",-6.8901
652,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",Isaiah 50:2,"Wherefore, when I came, was there no man? when I called, was there none to answer? Is my hand shortened at all, that it cannot redeem? or have I no power to deliver? behold, at my rebuke I dry up the ",-6.9023
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",John 8:44,"Ye are of your father the devil, and the lusts of your father ye will do. He was a murderer from the beginning, and abode not in the truth, because there is no truth in him. When he speaketh a lie, he",-6.9191
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Genesis 44:7,"And they said unto him, Wherefore saith my lord these words? God forbid that thy servants should do according to this thing: 44:8 Behold, the money, which we found in our sacks’ mouths, we brought aga",-6.9381
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Jeremiah 29:31,"Send to all them of the captivity, saying, Thus saith the LORD concerning Shemaiah the Nehelamite; Because that Shemaiah hath prophesied unto you, and I sent him not, and he caused you to trust in a l",-6.9497
283,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",Nehemiah 9:29,"And testifiedst against them, that thou mightest bring them again unto thy law: yet they dealt proudly, and hearkened not unto thy commandments, but sinned against thy judgments, (which if a man do, h",-6.9502
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Exodus 23:1,Thou shalt not raise a false report: put not thine hand with the wicked to be an unrighteous witness.,-6.9516
75,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Nehemiah 4:4,"Hear, O our God; for we are despised: and turn their reproach upon their own head, and give them for a prey in the land of captivity: 4:5 And cover not their iniquity, and let not their sin be blotted",-6.9580
123,"In addition to these opportunities, sleeping as I did in the kitchen loft, a room seldom visited by any of the family, I contrived to get a flour-barrel up there and a chair, and upon the head of that",1 Kings 17:19,"And he said unto her, Give me thy son. And he took him out of her bosom, and carried him up into a loft, where he abode, and laid him upon his own bed.",-6.9624
41,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",-6.9663
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Luke 22:6,"And he promised, and sought opportunity to betray him unto them in the absence of the multitude.",-6.9670
10,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Genesis 31:30,"And now, though thou wouldest needs be gone, because thou sore longedst after thy father’s house, yet wherefore hast thou stolen my",-6.9686
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Luke 12:48,"But he that knew not, and did commit things worthy of stripes, shall be beaten with few stripes. For unto whomsoever much is given, of him shall be much required: and to whom men have committed much, ",-6.9712
652,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",Ecclesiastes 4:8,"There is one alone, and there is not a second; yea, he hath neither child nor brother: yet is there no end of all his labour; neither is his eye satisfied with riches; neither saith he, For whom do I ",-6.9744
50,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 31:20,"Is Ephraim my dear son? is he a pleasant child? for since I spake against him, I do earnestly remember him still: therefore my bowels are troubled for him; I will surely have mercy upon him, saith the",-6.9821
454,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",Psalms 83:5,For they have consulted together with one consent: they are confederate against thee:,-6.9953
822,"It was alleged that, though our government did not authorize Rear-Admiral Gherardi to overthrow Légitime and to set up Hyppolite as President of Haïti, it gave him the wink, and left him to assume the",Acts 25:16,"To whom I answered, It is not the manner of the Romans to deliver any man to die, before that he which is accused have the accusers face to face, and have licence to answer for himself concerning the ",-6.9994
